ward_code,ward_name,sale_year,total_sales,avg_price,med_price,total_crimes,avg_crimes_typed,usual_res_16_over,level_4_above,pc_highly_educated,total_estimated_jobs,pc_knowledge_jobs,total_schools
E05010916,Stoke Bishop,2022,181,650148,525000,124.5,6.552631578947368,11088,4791,43.208874458874455,2260,40.27,3
E05010916,Stoke Bishop,2023,139,654136,526000,160.7,8.457894736842105,11088,4791,43.208874458874455,2260,40.27,3
E05010916,Stoke Bishop,2024,154,725975,600000,148.9,7.836842105263158,11088,4791,43.208874458874455,2260,40.27,3
E05010918,Windmill Hill,2016,281,272802,272000,131.5,32.875,11542,6573,56.948535782360075,1395,27.24,3
E05010918,Windmill Hill,2017,361,307072,279500,127.2,31.8,11542,6573,56.948535782360075,1395,27.24,3
E05010918,Windmill Hill,2018,336,314866,310000,104.89999999999999,26.224999999999998,11542,6573,56.948535782360075,1395,27.24,3
E05010918,Windmill Hill,2019,272,297655,299000,111.7,27.925,11542,6573,56.948535782360075,1395,27.24,3
E05010918,Windmill Hill,2020,247,316054,326500,206.9,10.889473684210525,11542,6573,56.948535782360075,1395,27.24,3
E05010918,Windmill Hill,2021,378,342383,345000,234.1,12.321052631578947,11542,6573,56.948535782360075,1395,27.24,3
E05010918,Windmill Hill,2022,291,387266,405000,187.4,9.863157894736842,11542,6573,56.948535782360075,1395,27.24,3
E05010918,Windmill Hill,2023,276,378580,380000,188.2,9.905263157894737,11542,6573,56.948535782360075,1395,27.24,3
E05010918,Windmill Hill,2024,263,383093,390000,183.4,9.652631578947368,11542,6573,56.948535782360075,1395,27.24,3
